s_no,company,ppo,ctc,ecd,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,maid,mece,mvs,mpp,mcad,mth,mstr,mba,total
108,Tectoro,,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
109,Berkadia,,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
110,The Leadings Solutions,,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
111,Indian School Finance Company (ISFC),,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
112,Keka Ltd,15000,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
113,Valuemomentum,,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7
114,Alliant Group,,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8
115,Innovacx,,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
116,Torrent Gas,,4.0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
117,KETO Motors Pvt Ltd,,2.4,0,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
118,Tata Elxsi,,4.0,1,1,1,0,NA,NA,NA,NA,NA,2,0,1,0,0,0,NA,NA,NA,NA,6
119,CSB Bank,,3.0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,7
120,Pentagon Space Pvt Ltd (CSR Drive),,3.0,2,0,1,1,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,5
121,JK Paper (Sirpur Paper Mills),,3.75,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
122,RapiFlow Apps Software Solutions,,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
123,Rise WPU,,6.6,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5
124,Reputation,,13.2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
125,Sids Farm Pvt Ltd,,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
126,Teachnook,,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
127,Keka Ltd,15000,4.0,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
128,Prodapt Solutions,,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
129,Latent View,,6.5,3,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
130,Ryan,,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
131,Alliant Group,,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
132,BeautifulCode,,10.0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
133,DHL Suply Chain,,4.0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
134,Aizant Drug Research Solutions P Ltd,,3.5,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
135,Amazon PPO,80000,31.5,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
136,Atlas Silicon,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3
137,Calyxpod (MAQ),,7.5,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
138,BR Concepts Pvt Ltd,,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
